phase,task,method,perturbation_family,level,trials_per_condition,required,notes
simulation,press_button,human_effect_prior,joint_range,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,joint_range,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,joint_range,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,joint_range,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,gripper_limit,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,gripper_limit,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,gripper_limit,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,gripper_limit,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,speed_cap,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,speed_cap,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,speed_cap,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,speed_cap,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,calibration_offset,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,calibration_offset,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,calibration_offset,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,calibration_offset,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,camera_shift,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,camera_shift,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,camera_shift,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,camera_shift,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,payload,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,payload,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,payload,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,payload,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,tool_extension,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,tool_extension,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,tool_extension,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,tool_extension,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,friction_surface,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,friction_surface,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,friction_surface,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,friction_surface,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,compound,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,compound,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,compound,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,human_effect_prior,compound,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,latency,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,latency,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,latency,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,latency,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,action_noise,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,action_noise,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,action_noise,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,action_noise,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,joint_range,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,joint_range,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,joint_range,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,joint_range,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,gripper_limit,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,gripper_limit,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,gripper_limit,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,gripper_limit,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,speed_cap,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,speed_cap,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,speed_cap,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,speed_cap,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,calibration_offset,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,calibration_offset,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,calibration_offset,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,calibration_offset,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,camera_shift,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,camera_shift,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,camera_shift,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,camera_shift,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,payload,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,payload,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,payload,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,payload,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,tool_extension,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,tool_extension,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,tool_extension,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,tool_extension,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,friction_surface,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,friction_surface,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,friction_surface,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,friction_surface,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,compound,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,compound,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,compound,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,epec,compound,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,latency,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,latency,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,latency,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,latency,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,action_noise,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,action_noise,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,action_noise,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,action_noise,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,joint_range,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,joint_range,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,joint_range,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,joint_range,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,gripper_limit,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,gripper_limit,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,gripper_limit,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,gripper_limit,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,speed_cap,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,speed_cap,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,speed_cap,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,speed_cap,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,calibration_offset,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,calibration_offset,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,calibration_offset,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,calibration_offset,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,camera_shift,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,camera_shift,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,camera_shift,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,camera_shift,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,payload,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,payload,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,payload,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,payload,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,tool_extension,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,tool_extension,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,tool_extension,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,tool_extension,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,friction_surface,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,friction_surface,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,friction_surface,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,friction_surface,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,compound,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,compound,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,compound,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,press_button,bodyshield,compound,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,latency,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,latency,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,latency,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,latency,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,action_noise,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,action_noise,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,action_noise,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,action_noise,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,joint_range,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,joint_range,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,joint_range,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,joint_range,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,gripper_limit,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,gripper_limit,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,gripper_limit,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,gripper_limit,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,speed_cap,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,speed_cap,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,speed_cap,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,speed_cap,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,calibration_offset,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,calibration_offset,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,calibration_offset,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,calibration_offset,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,camera_shift,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,camera_shift,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,camera_shift,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,camera_shift,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,payload,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,payload,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,payload,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,payload,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,tool_extension,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,tool_extension,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,tool_extension,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,tool_extension,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,friction_surface,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,friction_surface,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,friction_surface,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,friction_surface,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,compound,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,compound,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,compound,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,nominal,compound,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,latency,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,latency,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,latency,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,latency,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,action_noise,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,action_noise,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,action_noise,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,action_noise,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,joint_range,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,joint_range,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,joint_range,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,joint_range,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,gripper_limit,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,gripper_limit,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,gripper_limit,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,gripper_limit,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,speed_cap,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,speed_cap,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,speed_cap,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,speed_cap,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,calibration_offset,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,calibration_offset,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,calibration_offset,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,calibration_offset,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,camera_shift,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,camera_shift,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,camera_shift,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,camera_shift,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,payload,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,payload,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,payload,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,payload,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,tool_extension,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,tool_extension,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,tool_extension,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,tool_extension,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,friction_surface,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,friction_surface,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,friction_surface,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,friction_surface,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,compound,none,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,compound,low,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,compound,medium,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,domain_randomization,compound,high,50,yes,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,latency,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,latency,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,latency,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,latency,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,action_noise,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,action_noise,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,action_noise,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,action_noise,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,joint_range,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,joint_range,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,joint_range,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,joint_range,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,gripper_limit,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,gripper_limit,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,gripper_limit,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,gripper_limit,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,speed_cap,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,speed_cap,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,speed_cap,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,speed_cap,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,calibration_offset,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,calibration_offset,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,calibration_offset,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,calibration_offset,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,camera_shift,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,camera_shift,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,camera_shift,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,camera_shift,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,payload,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,payload,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,payload,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,payload,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,tool_extension,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,tool_extension,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,tool_extension,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,tool_extension,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,friction_surface,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,friction_surface,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,friction_surface,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,friction_surface,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,compound,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,compound,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,compound,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,grid_worstcase,compound,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,robust_control,latency,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,robust_control,latency,low,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,robust_control,latency,medium,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,robust_control,latency,high,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
simulation,slide_track,robust_control,action_noise,none,50,strong_accept_maxout,adaptive boundary search may replace dense level sweep where appropriate
